time,transaction_count
1491883200,75647
1491969600,80044
1492056000,83854
1492142400,80900
1492228800,74375
1492315200,70436
1492401600,72313
1492488000,82985
1492574400,84633
1492660800,85190
1492747200,80357
1492833600,73081
1492920000,76846
1493006400,79381
1493092800,92634
1493179200,89318
1493265600,103999
1493352000,104790
1493438400,90993
1493524800,94556
1493611200,111417
1493697600,108896
1493784000,97020
1493870400,114258
1493956800,108101
1494043200,94736
1494129600,105969
1494216000,116573
1494302400,112175
1494388800,108881
1494475200,116184
1494561600,106360
1494648000,100373
1494734400,100554
1494820800,121812
1494907200,115329
1494993600,136862
1495080000,135379
1495166400,159613
1495252800,129645
1495339200,148310
1495425600,175054
1495512000,185231
1495598400,185286
1495684800,181537
1495771200,167598
1495857600,148124
1495944000,153808
1496030400,157223
1496116800,189967
1496203200,201783
1496289600,196287
1496376000,192359
1496462400,173467
1496548800,176499
1496635200,187883
1496721600,196588
1496808000,203622
1496894400,185436
1496980800,213325
1497067200,211542
1497153600,238642
1497240000,283747
1497326400,277048
1497412800,247995
1497499200,257854
1497585600,240756
1497672000,239079
1497758400,241123
1497844800,281940
1497931200,282261
1498017600,184832
1498104000,267235
1498190400,271560
1498276800,234177
1498363200,228207
1498449600,310578
1498536000,249519
1498622400,260502
1498708800,259915
1498795200,249348
1498881600,235306
1498968000,242078
1499054400,296176
1499140800,274519
1499227200,266278
1499313600,254326
1499400000,290214
1499486400,245000
1499572800,222526
1499659200,292500
1499745600,283359
1499832000,274589
1499918400,251166
1500004800,240921
1500091200,226299
1500177600,245056
1500264000,242807
1500350400,264793
1500436800,265517
1500523200,246674
1500609600,230250
1500696000,202932
1500782400,257432
1500868800,254470
1500955200,240165
1501041600,220422
1501128000,221180
1501214400,241644
1501300800,195643
1501387200,204095
1501473600,245945
1501560000,214951
1501646400,227858
1501732800,233534
1501819200,253035
1501905600,256914
1501992000,261758
1502078400,275647
1502164800,313214
1502251200,276014
1502337600,331562
1502424000,349683
1502510400,326255
1502596800,328333
1502683200,397980
1502769600,401458
